id,input_tokens,output
7309,C_02 C_07 C_11 C_23,0-8-4
7310,C_00 C_02 C_06 C_14,0-9-2
7311,C_09 C_12 C_14 C_26,1-9-3
7312,C_04 C_12 C_15 C_18,0-7-1
7313,C_12 C_15 C_18 C_24,1-7-1
7314,C_01 C_11 C_15 C_20,0-5-3
7315,C_04 C_05 C_21 C_29,1-8-4
7316,C_01 C_06 C_08 C_16,0-5-1
7317,C_03 C_22 C_23 C_27,1-8-2
7318,C_04 C_13 C_24 C_26,0-6-3
7319,C_04 C_07 C_17 C_21,1-8-1
7320,C_05 C_19 C_27 C_28,0-8-2
7321,C_04 C_11 C_20 C_29,1-5-4
7322,C_10 C_24 C_26 C_27,1-3-3
7323,C_08 C_11 C_19 C_25,1-5-4
7324,C_00 C_16 C_17 C_23,1-8-1
7325,C_14 C_21 C_22 C_23,0-9-2
7326,C_01 C_12 C_18 C_23,1-8-2
7327,C_04 C_19 C_20 C_26,1-5-4
7328,C_11 C_21 C_22 C_23,1-8-2
7329,C_00 C_04 C_09 C_16,0-4-0
7330,C_10 C_22 C_23 C_24,0-8-3
7331,C_00 C_02 C_03 C_04,1-8-3
7332,C_06 C_07 C_08 C_11,1-5-3
7333,C_02 C_11 C_17 C_27,1-8-3
7334,C_14 C_17 C_19 C_28,0-9-3
7335,C_06 C_14 C_16 C_19,0-9-2
7336,C_03 C_04 C_08 C_09,0-5-0
7337,C_09 C_10 C_21 C_26,1-8-2
7338,C_00 C_02 C_12 C_18,0-8-2
7339,C_01 C_09 C_18 C_21,1-8-1
7340,C_06 C_23 C_24 C_27,0-8-3
7341,C_03 C_08 C_13 C_19,0-6-4
7342,C_04 C_08 C_10 C_22,1-7-4
7343,C_03 C_07 C_16 C_18,1-7-3
7344,C_05 C_08 C_10 C_27,0-8-4
7345,C_00 C_11 C_22 C_23,1-8-3
7346,C_05 C_07 C_18 C_29,1-8-0
7347,C_08 C_09 C_20 C_23,0-8-0
7348,C_15 C_19 C_20 C_27,1-5-0
7349,C_00 C_01 C_04 C_26,1-3-0
7350,C_04 C_18 C_20 C_22,1-7-1
7351,C_00 C_02 C_04 C_28,1-8-4
7352,C_01 C_06 C_10 C_20,1-4-2
7353,C_01 C_05 C_13 C_27,1-8-0
7354,C_11 C_13 C_16 C_21,0-8-3
7355,C_04 C_13 C_18 C_20,1-7-3
7356,C_00 C_03 C_12 C_13,0-6-0
7357,C_02 C_06 C_09 C_25,1-8-3
7358,C_09 C_13 C_26 C_29,0-6-4
7359,C_06 C_10 C_18 C_28,1-7-4
7360,C_09 C_11 C_16 C_19,0-5-1
7361,C_00 C_12 C_21 C_26,0-8-2
7362,C_13 C_19 C_20 C_27,1-6-0
7363,C_12 C_14 C_20 C_29,1-9-1
7364,C_10 C_14 C_17 C_21,1-9-4
7365,C_03 C_04 C_13 C_19,1-6-3
7366,C_06 C_08 C_17 C_26,1-5-4
7367,C_01 C_15 C_18 C_27,0-7-1
7368,C_00 C_06 C_10 C_19,1-5-0
7369,C_05 C_20 C_26 C_27,0-8-0
7370,C_01 C_04 C_25 C_28,1-7-1
7371,C_02 C_11 C_13 C_24,1-8-3
7372,C_04 C_07 C_10 C_24,0-3-1
7373,C_02 C_03 C_07 C_14,1-9-3
7374,C_12 C_13 C_16 C_19,1-6-0
7375,C_01 C_09 C_24 C_29,0-3-0
7376,C_04 C_12 C_19 C_27,0-5-4
7377,C_18 C_24 C_25 C_28,1-7-2
7378,C_01 C_07 C_08 C_23,1-8-0
7379,C_00 C_04 C_10 C_18,1-7-3
7380,C_08 C_11 C_14 C_16,0-9-1
7381,C_05 C_08 C_09 C_28,0-8-1
7382,C_03 C_08 C_15 C_29,1-5-3
7383,C_05 C_13 C_23 C_28,0-8-3
7384,C_05 C_06 C_20 C_28,0-8-0
7385,C_09 C_14 C_23 C_28,1-9-1
7386,C_03 C_06 C_14 C_27,0-9-3
7387,C_12 C_14 C_15 C_19,0-9-2
7388,C_05 C_09 C_14 C_22,1-9-3
7389,C_04 C_10 C_20 C_23,1-8-0
7390,C_00 C_02 C_11 C_13,0-8-4
7391,C_00 C_04 C_08 C_17,1-5-3
7392,C_00 C_06 C_22 C_24,0-7-4
7393,C_12 C_15 C_22 C_26,0-7-2
7394,C_03 C_20 C_27 C_28,1-7-4
7395,C_05 C_09 C_26 C_29,0-8-0
7396,C_14 C_17 C_23 C_24,1-9-2
7397,C_13 C_20 C_21 C_29,1-8-2
7398,C_05 C_08 C_11 C_17,1-8-3
7399,C_21 C_22 C_27 C_28,0-8-3
7400,C_00 C_05 C_17 C_27,1-8-4
7401,C_03 C_13 C_20 C_24,0-6-1
7402,C_14 C_21 C_25 C_27,0-9-4
7403,C_00 C_15 C_17 C_27,1-3-3
7404,C_03 C_09 C_10 C_15,1-3-0
7405,C_03 C_05 C_06 C_25,0-8-2
7406,C_06 C_10 C_26 C_29,1-3-3
7407,C_01 C_07 C_17 C_25,1-5-3
7408,C_05 C_10 C_12 C_20,1-8-2
7409,C_12 C_19 C_22 C_29,0-7-4
7410,C_05 C_21 C_22 C_28,1-8-1
7411,C_04 C_07 C_13 C_18,0-7-4
7412,C_02 C_07 C_08 C_18,1-8-0
7413,C_02 C_09 C_11 C_17,0-8-2
7414,C_03 C_08 C_10 C_16,0-5-0
7415,C_03 C_10 C_12 C_21,0-8-2
7416,C_00 C_05 C_06 C_13,1-8-1
7417,C_01 C_02 C_18 C_28,0-8-4
7418,C_01 C_03 C_23 C_27,1-8-0
7419,C_00 C_12 C_14 C_18,1-9-4
7420,C_01 C_02 C_08 C_23,0-8-4
7421,C_00 C_01 C_05 C_18,1-8-1
7422,C_02 C_04 C_10 C_29,1-8-0
7423,C_07 C_14 C_21 C_25,0-9-2
7424,C_03 C_08 C_24 C_25,1-5-1
7425,C_08 C_15 C_23 C_28,1-8-4
7426,C_01 C_13 C_15 C_20,0-6-1
7427,C_24 C_26 C_27 C_29,0-3-1
7428,C_00 C_04 C_09 C_14,1-9-2
7429,C_12 C_15 C_19 C_20,1-5-0
7430,C_13 C_23 C_25 C_29,0-8-0
7431,C_03 C_06 C_16 C_19,0-5-0
7432,C_05 C_09 C_10 C_21,0-8-2
7433,C_04 C_06 C_07 C_13,0-6-0
7434,C_21 C_23 C_26 C_27,1-8-1
7435,C_02 C_06 C_13 C_25,1-8-1
7436,C_05 C_10 C_15 C_21,0-8-0
7437,C_03 C_13 C_14 C_26,1-9-3
7438,C_05 C_10 C_17 C_19,0-8-4
7439,C_00 C_05 C_23 C_24,0-8-0
7440,C_07 C_10 C_23 C_26,1-8-1
7441,C_00 C_07 C_10 C_21,1-8-2
7442,C_01 C_04 C_10 C_25,0-5-3
7443,C_00 C_05 C_14 C_23,0-9-1
7444,C_01 C_03 C_11 C_15,1-5-3
7445,C_01 C_11 C_17 C_20,0-5-1
7446,C_00 C_05 C_11 C_29,1-8-1
7447,C_06 C_13 C_17 C_19,1-6-3
7448,C_13 C_16 C_23 C_28,0-8-2
7449,C_07 C_10 C_12 C_20,0-4-2
7450,C_12 C_17 C_21 C_25,1-8-0
7451,C_06 C_17 C_20 C_26,0-4-2
7452,C_06 C_08 C_22 C_27,1-7-1
7453,C_00 C_15 C_22 C_27,1-7-3
7454,C_01 C_06 C_09 C_12,0-3-4
7455,C_01 C_15 C_17 C_19,0-5-1
7456,C_02 C_08 C_14 C_25,0-9-2
7457,C_10 C_11 C_27 C_28,0-7-4
7458,C_07 C_08 C_17 C_28,1-7-2
7459,C_06 C_07 C_18 C_22,1-7-4
7460,C_12 C_16 C_18 C_27,1-7-3
7461,C_07 C_08 C_11 C_26,1-5-1
7462,C_08 C_15 C_20 C_23,0-8-3
7463,C_06 C_22 C_26 C_28,1-7-3
7464,C_09 C_13 C_15 C_21,0-8-3
7465,C_11 C_20 C_23 C_27,0-8-1
7466,C_02 C_05 C_25 C_28,1-8-0
7467,C_05 C_10 C_27 C_28,0-8-3
7468,C_05 C_16 C_19 C_29,1-8-4
7469,C_00 C_07 C_09 C_18,0-7-2
7470,C_06 C_23 C_24 C_26,0-8-1
7471,C_03 C_10 C_23 C_25,0-8-2
7472,C_01 C_04 C_23 C_24,0-8-4
7473,C_05 C_14 C_17 C_20,1-9-1
7474,C_04 C_14 C_22 C_25,1-9-4
7475,C_06 C_08 C_18 C_26,0-7-3
7476,C_02 C_11 C_17 C_25,0-8-3
7477,C_07 C_10 C_27 C_29,1-3-3
7478,C_01 C_05 C_09 C_22,0-8-2
7479,C_02 C_05 C_16 C_24,1-8-2
7480,C_05 C_19 C_21 C_29,1-8-0
7481,C_03 C_09 C_10 C_28,0-7-1
7482,C_02 C_12 C_23 C_24,1-8-0
7483,C_12 C_15 C_16 C_28,0-7-4
7484,C_06 C_09 C_14 C_18,1-9-4
7485,C_03 C_05 C_13 C_29,0-8-2
7486,C_07 C_08 C_15 C_24,1-5-4
7487,C_01 C_07 C_17 C_19,1-5-2
7488,C_06 C_18 C_19 C_21,0-8-3
7489,C_11 C_22 C_26 C_28,0-7-2
7490,C_18 C_20 C_21 C_27,0-8-1
7491,C_09 C_10 C_12 C_27,0-3-1
7492,C_03 C_16 C_24 C_25,0-5-4
7493,C_08 C_11 C_15 C_24,0-5-0
7494,C_09 C_12 C_15 C_16,1-4-0
7495,C_05 C_17 C_19 C_29,1-8-2
7496,C_03 C_14 C_20 C_29,1-9-3
7497,C_10 C_13 C_20 C_24,1-6-4
7498,C_01 C_03 C_12 C_13,0-6-4
7499,C_04 C_09 C_10 C_13,0-6-1
7500,C_12 C_14 C_16 C_29,1-9-1
7501,C_07 C_15 C_26 C_27,1-3-0
7502,C_03 C_04 C_27 C_29,1-3-0
7503,C_12 C_19 C_28 C_29,1-7-2
7504,C_02 C_07 C_09 C_21,1-8-4
7505,C_05 C_16 C_21 C_28,1-8-3
7506,C_05 C_15 C_20 C_27,1-8-4
7507,C_12 C_23 C_27 C_29,0-8-3
7508,C_07 C_18 C_24 C_29,0-7-0
7509,C_03 C_05 C_12 C_18,1-8-1
7510,C_10 C_15 C_16 C_25,0-5-1
7511,C_17 C_21 C_22 C_28,1-8-3
7512,C_06 C_08 C_10 C_20,0-5-3
7513,C_01 C_05 C_07 C_26,0-8-4
7514,C_05 C_08 C_21 C_25,1-8-2
7515,C_05 C_07 C_17 C_21,1-8-1
7516,C_03 C_08 C_19 C_27,1-5-2
7517,C_00 C_12 C_18 C_24,1-7-3
7518,C_13 C_15 C_17 C_27,1-6-1
7519,C_17 C_20 C_21 C_25,0-8-2
7520,C_07 C_20 C_22 C_26,0-7-0
7521,C_08 C_13 C_23 C_27,1-8-1
7522,C_02 C_15 C_19 C_23,1-8-3
7523,C_04 C_11 C_15 C_26,1-5-4
7524,C_01 C_20 C_24 C_29,0-4-3
7525,C_10 C_12 C_15 C_18,0-7-3
7526,C_07 C_11 C_15 C_18,0-7-0
7527,C_14 C_18 C_21 C_27,1-9-3
7528,C_03 C_11 C_16 C_19,1-5-4
7529,C_02 C_09 C_26 C_27,0-8-1
7530,C_00 C_09 C_16 C_27,1-4-2
7531,C_12 C_14 C_16 C_18,1-9-2
7532,C_00 C_13 C_16 C_24,1-6-3
7533,C_08 C_18 C_21 C_28,1-8-1
7534,C_05 C_06 C_09 C_26,0-8-2
7535,C_12 C_18 C_20 C_23,1-8-1
7536,C_00 C_07 C_24 C_28,1-7-0
7537,C_00 C_07 C_26 C_27,1-3-2
7538,C_04 C_16 C_17 C_24,1-4-0
7539,C_07 C_11 C_16 C_20,1-5-3
7540,C_00 C_02 C_14 C_25,1-9-2
7541,C_02 C_10 C_16 C_24,1-8-4
7542,C_00 C_04 C_06 C_20,1-4-1
7543,C_09 C_10 C_17 C_21,0-8-4
7544,C_01 C_16 C_23 C_28,0-8-3
7545,C_11 C_12 C_17 C_22,1-7-1
7546,C_04 C_10 C_16 C_22,0-7-2
7547,C_08 C_14 C_18 C_19,1-9-3
7548,C_00 C_13 C_17 C_28,1-7-1
7549,C_14 C_16 C_25 C_27,0-9-3
7550,C_11 C_15 C_19 C_21,0-8-0
7551,C_00 C_11 C_14 C_22,1-9-4
7552,C_04 C_18 C_21 C_28,0-8-0
7553,C_01 C_02 C_09 C_22,0-8-1
7554,C_01 C_07 C_19 C_28,0-7-0
7555,C_11 C_13 C_14 C_15,1-9-4
7556,C_11 C_12 C_17 C_29,0-5-4
7557,C_03 C_13 C_14 C_17,0-9-0
7558,C_06 C_11 C_13 C_25,1-6-3
7559,C_00 C_02 C_07 C_13,1-8-3
7560,C_04 C_06 C_18 C_21,0-8-2
7561,C_08 C_14 C_16 C_24,1-9-0
7562,C_09 C_14 C_15 C_26,0-9-0
7563,C_00 C_05 C_19 C_23,1-8-1
7564,C_02 C_12 C_19 C_21,1-8-1
7565,C_01 C_02 C_22 C_27,1-8-2
7566,C_01 C_06 C_13 C_16,1-6-4
7567,C_00 C_03 C_05 C_29,0-8-4
7568,C_00 C_06 C_22 C_26,0-7-4
7569,C_02 C_09 C_18 C_22,1-8-2
7570,C_17 C_23 C_24 C_25,0-8-3
7571,C_04 C_05 C_10 C_16,0-8-0
7572,C_05 C_08 C_22 C_23,0-8-2
7573,C_00 C_04 C_14 C_19,1-9-2
7574,C_01 C_02 C_12 C_17,1-8-2
7575,C_00 C_05 C_08 C_18,0-8-2
7576,C_18 C_20 C_21 C_26,0-8-4
7577,C_02 C_18 C_19 C_29,0-8-0
7578,C_03 C_14 C_19 C_21,0-9-0
7579,C_02 C_09 C_15 C_29,1-8-3
7580,C_07 C_11 C_16 C_27,0-5-1
7581,C_06 C_07 C_09 C_18,1-7-3
7582,C_00 C_09 C_20 C_28,1-7-0
7583,C_08 C_09 C_26 C_29,1-5-1
7584,C_13 C_16 C_19 C_24,1-6-3
7585,C_04 C_05 C_08 C_24,0-8-0
7586,C_00 C_05 C_22 C_24,1-8-2
7587,C_01 C_08 C_20 C_27,0-5-1
7588,C_03 C_06 C_15 C_20,0-4-3
7589,C_00 C_01 C_08 C_10,1-5-3
7590,C_12 C_20 C_26 C_27,1-4-2
7591,C_00 C_04 C_13 C_26,1-6-4
7592,C_18 C_24 C_26 C_29,0-7-0
7593,C_13 C_19 C_26 C_28,0-7-4
7594,C_01 C_05 C_21 C_24,1-8-4
7595,C_13 C_17 C_26 C_27,0-6-2
7596,C_06 C_18 C_28 C_29,0-7-2
7597,C_09 C_11 C_15 C_24,1-5-0
7598,C_13 C_15 C_21 C_23,1-8-2
7599,C_00 C_01 C_13 C_19,0-6-0
7600,C_03 C_09 C_11 C_26,0-5-0
7601,C_12 C_18 C_26 C_28,0-7-2
7602,C_03 C_07 C_20 C_23,1-8-2
7603,C_07 C_12 C_18 C_20,1-7-1
7604,C_08 C_17 C_22 C_29,0-7-4
7605,C_04 C_10 C_13 C_28,1-7-0
7606,C_05 C_11 C_17 C_18,1-8-3
7607,C_09 C_19 C_25 C_27,1-5-0
7608,C_00 C_05 C_23 C_28,0-8-0
7609,C_06 C_20 C_24 C_26,1-4-0
7610,C_03 C_04 C_18 C_27,1-7-1
7611,C_07 C_08 C_11 C_13,0-6-0
7612,C_05 C_13 C_14 C_21,1-9-4
7613,C_01 C_05 C_26 C_29,0-8-4
7614,C_00 C_07 C_08 C_12,1-5-3
7615,C_01 C_07 C_17 C_21,1-8-1
7616,C_11 C_22 C_24 C_28,0-7-2
7617,C_04 C_09 C_14 C_25,1-9-3
7618,C_05 C_09 C_12 C_26,0-8-2
7619,C_11 C_12 C_20 C_25,1-5-3
7620,C_04 C_10 C_13 C_16,0-6-4
7621,C_06 C_07 C_08 C_10,1-5-4
7622,C_03 C_11 C_24 C_28,1-7-4
7623,C_16 C_18 C_22 C_24,0-7-1
7624,C_04 C_07 C_21 C_22,1-8-1
7625,C_04 C_15 C_20 C_28,1-7-2
7626,C_02 C_03 C_17 C_20,1-8-3
7627,C_05 C_19 C_22 C_24,1-8-2
7628,C_00 C_02 C_07 C_17,1-8-1
7629,C_06 C_11 C_13 C_23,0-8-1
7630,C_01 C_16 C_17 C_22,0-7-2
7631,C_07 C_12 C_20 C_25,0-5-2
7632,C_01 C_19 C_20 C_24,1-5-4
7633,C_07 C_21 C_25 C_29,0-8-1
7634,C_04 C_08 C_12 C_17,0-5-4
7635,C_06 C_11 C_14 C_20,0-9-2
7636,C_01 C_12 C_19 C_27,0-5-4
7637,C_01 C_13 C_15 C_28,1-7-2
7638,C_09 C_13 C_14 C_16,1-9-4
7639,C_03 C_07 C_17 C_18,1-7-1
7640,C_14 C_24 C_28 C_29,0-9-0
7641,C_09 C_24 C_25 C_27,0-5-4
7642,C_00 C_08 C_14 C_27,1-9-4
7643,C_16 C_18 C_21 C_23,0-8-4
7644,C_09 C_11 C_20 C_23,1-8-0
7645,C_10 C_13 C_18 C_19,1-7-2
7646,C_07 C_08 C_19 C_23,1-8-1
7647,C_00 C_01 C_06 C_24,0-3-2
7648,C_02 C_03 C_06 C_28,1-8-4
7649,C_15 C_19 C_24 C_27,0-5-1
7650,C_07 C_21 C_25 C_28,0-8-1
7651,C_06 C_07 C_17 C_20,0-4-2
7652,C_01 C_12 C_13 C_27,0-6-2
7653,C_10 C_14 C_21 C_28,0-9-2
7654,C_12 C_13 C_21 C_27,0-8-2
7655,C_05 C_06 C_15 C_27,0-8-2
7656,C_03 C_05 C_08 C_25,0-8-1
7657,C_10 C_12 C_18 C_20,0-7-3
7658,C_11 C_13 C_18 C_25,1-7-2
7659,C_00 C_05 C_16 C_26,1-8-4
7660,C_04 C_17 C_19 C_29,1-5-2
7661,C_10 C_11 C_13 C_17,0-6-3
7662,C_03 C_04 C_12 C_22,0-7-2
7663,C_07 C_10 C_17 C_28,0-7-3
7664,C_07 C_10 C_17 C_20,1-4-2
7665,C_00 C_16 C_20 C_27,1-4-0
7666,C_03 C_17 C_20 C_24,0-4-4
7667,C_03 C_20 C_26 C_27,1-4-4
7668,C_06 C_08 C_16 C_19,0-5-2
7669,C_03 C_07 C_10 C_24,1-1-0
7670,C_01 C_02 C_10 C_26,1-8-0
7671,C_07 C_11 C_19 C_29,0-5-1
7672,C_02 C_12 C_18 C_28,1-8-1
7673,C_00 C_11 C_20 C_28,1-7-0
7674,C_01 C_03 C_15 C_27,0-3-4
7675,C_00 C_14 C_19 C_21,1-9-2
7676,C_01 C_04 C_21 C_28,1-8-4
7677,C_03 C_20 C_23 C_25,0-8-4
7678,C_15 C_17 C_18 C_19,1-7-2
7679,C_02 C_08 C_12 C_23,1-8-1
7680,C_02 C_05 C_09 C_24,1-8-4
7681,C_03 C_04 C_20 C_28,0-7-2
7682,C_04 C_10 C_15 C_22,0-7-2
7683,C_04 C_08 C_13 C_15,1-6-3
7684,C_06 C_07 C_17 C_24,1-3-3
7685,C_07 C_11 C_18 C_29,1-7-1
7686,C_05 C_11 C_14 C_25,1-9-3
7687,C_02 C_13 C_16 C_22,0-8-3
7688,C_02 C_05 C_13 C_25,0-8-4
7689,C_14 C_15 C_19 C_22,1-9-2
7690,C_04 C_06 C_16 C_24,0-4-0
7691,C_03 C_10 C_14 C_19,0-9-2
7692,C_11 C_13 C_21 C_25,0-8-1
7693,C_06 C_07 C_21 C_24,1-8-1
7694,C_11 C_21 C_23 C_28,0-8-0
7695,C_02 C_19 C_26 C_27,0-8-1
7696,C_08 C_23 C_26 C_27,0-8-2
7697,C_09 C_16 C_21 C_29,1-8-4
7698,C_08 C_13 C_14 C_18,1-9-1
7699,C_02 C_05 C_14 C_16,1-9-3
7700,C_00 C_06 C_08 C_24,1-5-3
7701,C_00 C_01 C_10 C_15,0-3-1
7702,C_03 C_06 C_25 C_26,1-5-2
7703,C_16 C_21 C_22 C_29,1-8-0
7704,C_07 C_08 C_13 C_15,0-6-3
7705,C_01 C_13 C_14 C_26,0-9-4
7706,C_03 C_08 C_10 C_21,0-8-1
7707,C_11 C_20 C_22 C_29,1-7-1
7708,C_00 C_14 C_16 C_19,1-9-1
7709,C_08 C_11 C_16 C_24,0-5-0
7710,C_05 C_11 C_27 C_29,0-8-2
7711,C_00 C_03 C_06 C_23,1-8-1
7712,C_00 C_12 C_21 C_24,0-8-2
7713,C_04 C_07 C_13 C_27,0-6-0
7714,C_00 C_03 C_18 C_29,1-7-0
7715,C_04 C_23 C_26 C_28,1-8-4
7716,C_08 C_11 C_12 C_18,1-7-4
7717,C_01 C_16 C_18 C_28,0-7-4
7718,C_04 C_12 C_22 C_23,0-8-3
7719,C_05 C_07 C_25 C_26,0-8-1
7720,C_01 C_03 C_06 C_11,0-5-1
7721,C_02 C_21 C_22 C_24,1-8-0
7722,C_05 C_14 C_21 C_25,1-9-2
7723,C_07 C_15 C_19 C_24,0-5-4
7724,C_03 C_16 C_17 C_18,0-7-0
7725,C_07 C_14 C_22 C_24,1-9-2
7726,C_02 C_12 C_16 C_28,0-8-4
7727,C_00 C_03 C_11 C_26,0-5-0
7728,C_01 C_04 C_06 C_26,0-3-1
7729,C_06 C_13 C_14 C_23,1-9-1
7730,C_08 C_14 C_24 C_26,0-9-1
7731,C_09 C_14 C_17 C_26,0-9-3
7732,C_00 C_01 C_11 C_12,1-5-3
7733,C_10 C_12 C_21 C_23,0-8-3
7734,C_02 C_07 C_10 C_25,1-8-2
7735,C_04 C_06 C_08 C_29,1-5-2
7736,C_06 C_24 C_27 C_28,0-7-3
7737,C_02 C_03 C_08 C_09,0-8-4
7738,C_02 C_05 C_07 C_16,1-8-2
7739,C_01 C_16 C_20 C_22,0-7-4
7740,C_19 C_21 C_23 C_24,0-8-0
7741,C_02 C_13 C_14 C_25,1-9-0
7742,C_00 C_11 C_16 C_27,1-5-2
7743,C_03 C_18 C_19 C_22,0-7-2
7744,C_06 C_14 C_21 C_25,0-9-4
7745,C_00 C_03 C_07 C_10,0-1-1
7746,C_09 C_11 C_12 C_24,0-5-3
7747,C_04 C_13 C_24 C_29,0-6-3
7748,C_13 C_17 C_18 C_26,0-7-1
7749,C_04 C_10 C_14 C_27,0-9-4
7750,C_00 C_06 C_11 C_26,0-5-3
7751,C_00 C_01 C_14 C_27,0-9-3
7752,C_05 C_12 C_14 C_24,1-9-2
7753,C_02 C_05 C_13 C_24,1-8-2
7754,C_08 C_10 C_12 C_20,0-5-3
7755,C_11 C_18 C_23 C_27,1-8-3
7756,C_04 C_15 C_16 C_22,0-7-4
7757,C_08 C_20 C_24 C_27,1-5-1
7758,C_06 C_08 C_14 C_22,1-9-0
7759,C_02 C_16 C_21 C_28,1-8-2
7760,C_03 C_09 C_22 C_26,0-7-1
7761,C_04 C_05 C_09 C_17,0-8-2
7762,C_04 C_12 C_13 C_25,1-6-2
7763,C_01 C_25 C_27 C_29,0-5-3
7764,C_02 C_18 C_21 C_28,0-8-4
7765,C_00 C_01 C_24 C_25,1-5-2
7766,C_12 C_14 C_21 C_28,1-9-2
7767,C_06 C_13 C_15 C_19,1-6-0
7768,C_00 C_02 C_15 C_28,1-8-3
7769,C_04 C_09 C_13 C_29,1-6-4
7770,C_05 C_08 C_21 C_23,0-8-0
7771,C_08 C_17 C_18 C_22,0-7-0
7772,C_06 C_10 C_15 C_29,0-3-2
7773,C_06 C_07 C_22 C_28,1-7-3
7774,C_00 C_02 C_09 C_13,0-8-4
7775,C_09 C_25 C_26 C_29,0-5-2
7776,C_08 C_14 C_16 C_25,0-9-2
7777,C_01 C_11 C_15 C_22,0-7-1
7778,C_08 C_19 C_23 C_24,1-8-1
7779,C_05 C_14 C_23 C_26,1-9-0
7780,C_05 C_19 C_25 C_28,1-8-2
7781,C_03 C_09 C_15 C_20,1-4-2
7782,C_05 C_12 C_16 C_23,0-8-0
7783,C_03 C_08 C_17 C_23,1-8-1
7784,C_03 C_06 C_25 C_29,1-5-2
7785,C_01 C_06 C_07 C_27,1-3-3
7786,C_12 C_15 C_18 C_19,0-7-2
7787,C_05 C_13 C_15 C_17,0-8-4
7788,C_07 C_20 C_21 C_25,1-8-0
7789,C_17 C_19 C_23 C_27,0-8-4
7790,C_03 C_05 C_08 C_22,0-8-1
7791,C_00 C_11 C_12 C_20,1-5-2
7792,C_05 C_15 C_19 C_26,1-8-4
7793,C_09 C_15 C_20 C_26,1-4-3
7794,C_00 C_04 C_16 C_27,1-4-1
7795,C_06 C_07 C_11 C_26,1-5-2
7796,C_00 C_05 C_06 C_11,1-8-3
7797,C_07 C_08 C_16 C_22,0-7-1
7798,C_04 C_05 C_14 C_19,1-9-1
7799,C_05 C_25 C_28 C_29,0-8-1
7800,C_06 C_15 C_19 C_27,0-5-3
7801,C_02 C_11 C_15 C_19,0-8-4
7802,C_04 C_17 C_22 C_29,1-7-3
7803,C_00 C_09 C_13 C_19,0-6-1
7804,C_03 C_07 C_18 C_27,0-7-1
7805,C_03 C_19 C_25 C_27,0-5-3
7806,C_08 C_17 C_28 C_29,1-7-2
7807,C_03 C_09 C_12 C_14,1-9-2
7808,C_03 C_07 C_15 C_21,0-8-2
7809,C_03 C_05 C_12 C_23,1-8-0
7810,C_08 C_20 C_21 C_22,1-8-1
7811,C_01 C_17 C_19 C_29,1-5-2
7812,C_03 C_10 C_15 C_16,1-4-3
7813,C_00 C_09 C_20 C_25,0-5-2
7814,C_00 C_12 C_14 C_25,0-9-0
7815,C_10 C_14 C_17 C_26,0-9-4
7816,C_08 C_12 C_26 C_28,0-7-2
7817,C_00 C_08 C_13 C_17,1-6-2
7818,C_08 C_10 C_16 C_20,1-5-0
7819,C_00 C_03 C_16 C_22,1-7-0
7820,C_06 C_12 C_18 C_20,1-7-3
7821,C_11 C_17 C_21 C_29,1-8-2
7822,C_00 C_14 C_21 C_25,1-9-3
7823,C_09 C_14 C_20 C_29,0-9-0
7824,C_06 C_09 C_18 C_28,1-7-3
7825,C_17 C_18 C_19 C_27,0-7-0
7826,C_01 C_22 C_27 C_28,0-7-3
7827,C_00 C_08 C_09 C_12,0-5-4
7828,C_06 C_09 C_11 C_25,1-5-0
7829,C_06 C_16 C_26 C_29,1-4-0
7830,C_04 C_05 C_15 C_26,1-8-3
7831,C_10 C_16 C_25 C_27,1-5-4
7832,C_00 C_12 C_16 C_17,1-4-3
7833,C_01 C_06 C_26 C_29,1-3-1
7834,C_03 C_10 C_19 C_22,1-7-3
7835,C_03 C_19 C_23 C_24,1-8-4
7836,C_03 C_14 C_23 C_29,0-9-4
7837,C_00 C_13 C_22 C_27,1-7-3
7838,C_13 C_25 C_26 C_27,0-6-2
7839,C_07 C_16 C_22 C_28,0-7-0
7840,C_01 C_05 C_24 C_27,0-8-1
7841,C_05 C_23 C_25 C_26,0-8-1
7842,C_03 C_07 C_17 C_24,1-1-0
7843,C_07 C_23 C_26 C_29,0-8-4
7844,C_04 C_09 C_23 C_28,0-8-0
7845,C_03 C_16 C_17 C_27,0-4-1
7846,C_05 C_07 C_14 C_18,1-9-1
7847,C_06 C_14 C_20 C_23,1-9-1
7848,C_07 C_21 C_23 C_28,1-8-4
7849,C_00 C_03 C_10 C_13,1-6-0
7850,C_04 C_08 C_13 C_26,0-6-4
7851,C_00 C_07 C_19 C_21,1-8-1
7852,C_05 C_09 C_11 C_18,1-8-2
7853,C_02 C_17 C_22 C_23,1-8-2
7854,C_06 C_08 C_10 C_23,1-8-4
7855,C_05 C_09 C_11 C_26,1-8-1
7856,C_07 C_13 C_26 C_27,1-6-0
7857,C_04 C_10 C_12 C_20,1-4-2
7858,C_06 C_07 C_13 C_26,1-6-0
7859,C_08 C_12 C_15 C_19,0-5-2
7860,C_01 C_18 C_22 C_26,0-7-2
7861,C_00 C_12 C_24 C_26,1-1-2
7862,C_03 C_14 C_18 C_27,0-9-2
7863,C_08 C_11 C_12 C_25,0-5-0
7864,C_05 C_10 C_14 C_26,0-9-2
7865,C_03 C_06 C_09 C_20,0-4-0
7866,C_04 C_06 C_13 C_17,1-6-2
7867,C_04 C_05 C_11 C_13,0-8-4
